Supplier Name,Supplier ID,Product,Product ID,Product Quantity,Price per Product,Address,State,Phone Number,City,Email,Payment Status,Date
Sehgal and Sons,5086,"Pulp (e.g., mango, guava, or tomato pulp)",P003,495,27.36,"H.No. 07, Magar Ganj, New Delhi 338196",Punjab,+918988577392,Coimbatore,samairawason@hotmail.com,Payment Pending,2021-11-04
Bera-Dani,2442,Rice or Pasta,P020,12,441.23,"30/73, Vohra Marg, Kollam-622620",Karnataka,08664743826,Jalandhar,xthaker@kulkarni.com,Payment Pending,2022-04-30
Sehgal and Sons,6013,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,131,15.79,"H.No. 009, Sagar Ganj, Kochi 939824",Jharkhand,2874068431,Machilipatnam,echauhan@mahajan-setty.com,Payment Paid,2020-09-24
Swaminathan and Sons,6869,Ice Cream,P002,26,112.72,"44, Agate Path, Hosur 660174",Mizoram,02317720828,Ghaziabad,xgarg@yahoo.com,Payment Paid,2023-01-19
"Sem, Mann and Karnik",2827,Whipping Cream,P016,47,268.58,"02/84, Keer Ganj, Danapur 454388",Arunachal Pradesh,+910927184171,Satara,kashvi91@gmail.com,Payment Pending,2022-03-11
"Sem, Mann and Karnik",2990,Paneer (Cottage Cheese),P008,251,10.83,"553, Hora Nagar, Vijayawada 078982",Assam,04856793740,Jalgaon,baralveer@hotmail.com,Payment Pending,2022-07-03
"Sem, Mann and Karnik",7450,Rice or Pasta,P020,19,415.69,"H.No. 433, Thaker Circle, Srinagar-188580",Chhattisgarh,4509984504,Barasat,shayak45@dhaliwal-lalla.com,Payment Paid,2020-11-13
Swaminathan and Sons,7363,Frozen Fish Fillets,P011,265,193.8,"45/977, Sahni Road, Shimoga-684998",Andhra Pradesh,+915111906659,Bihar Sharif,hbakshi@gmail.com,Payment Paid,2021-04-04
Ratta-Buch,5165,Sweet Corn,P001,177,481.48,"80/718, Sanghvi Chowk, Jamnagar-591904",Goa,03820294974,Gulbarga,reneeben@bhavsar-sen.com,Payment Paid,2020-11-11
"Grover, Sidhu and Varma",3698,Frozen Mixed Vegetables,P009,196,220.26,"H.No. 996, Raval Zila, Mysore 585429",Uttar Pradesh,3726302191,Berhampore,annehunar@srivastava-chakrabarti.com,Payment Paid,2020-12-30
Chana-Sankar,5897,"Dry Fruits (e.g., almonds, cashews, raisins)",P017,265,378.83,"H.No. 40, Zacharia Circle, Udupi 398060",Himachal Pradesh,1721127825,Etawah,madhup18@gmail.com,Payment Paid,2021-10-29
Sehgal and Sons,3144,Rice or Pasta,P020,21,44.67,"37, Bahl Path, Muzaffarnagar-673629",Arunachal Pradesh,+913362615583,Faridabad,hansh31@dyal-suri.com,Payment Paid,2023-02-26
Bera-Dani,1895,Frozen French Fries,P005,195,168.43,"H.No. 808, Bumb Street, Satna-298115",Arunachal Pradesh,09672568205,Ghaziabad,prerak21@krishnamurthy-sur.biz,Payment Pending,2020-03-20
"Tella, Andra and Grover",1305,Milk or Milk Powder,P013,55,335.97,"75/29, Ben Street, Mathura-069793",Mizoram,+917786157498,Hospet,hbail@hotmail.com,Payment Pending,2021-03-16
"Tella, Andra and Grover",1118,Frozen Fish Fillets,P011,331,307.57,"H.No. 484, Amble Chowk, Siwan 278671",Assam,04549808357,Jammu,routshanaya@de.org,Payment Pending,2021-06-29
Deo Ltd,6115,Yogurt or Curd,P012,409,143.82,"81/17, Tailor Marg, Aurangabad-535893",Karnataka,7080258077,Ghaziabad,riyamall@barad-iyengar.com,Payment Paid,2020-03-24
"Bali, Iyer and Lad",9515,Pickles,P018,403,346.43,"00/506, Chatterjee Zila, Silchar 483105",Uttarakhand,6749138121,Kalyan-Dombivli,jkrishnamurthy@hotmail.com,Payment Paid,2023-01-01
Deo Ltd,1678,Paneer (Cottage Cheese),P008,17,106.75,"32/822, Dave Road, Kottayam-060215",Odisha,+912331120662,Haridwar,jivin07@yahoo.com,Payment Pending,2021-02-24
Sehgal and Sons,2768,Whipping Cream,P016,105,403.99,"37, Chacko Path, Malegaon-295831",Assam,00624431969,Bulandshahr,jkala@gmail.com,Payment Pending,2021-01-08
Ratta-Buch,9681,Pickles,P018,143,237.57,"H.No. 925, Varughese Path, Adoni-115448",Uttarakhand,8980761470,Secunderabad,ogarg@yahoo.com,Payment Paid,2023-11-25
Deo Ltd,5972,Green Peas,P004,25,386.64,"32, Vohra Street, Dindigul 144916",Nagaland,+912787280479,Firozabad,krandhawa@yahoo.com,Payment Paid,2020-02-23
"Sem, Mann and Karnik",4316,Paneer (Cottage Cheese),P008,251,477.62,"H.No. 53, Rao Nagar, Chennai-651270",Karnataka,5621881748,Gudivada,banikrohan@sathe.com,Payment Paid,2021-11-02
Bera-Dani,1086,Ice Cream,P002,197,202.0,"02/222, Acharya Zila, Karnal 429295",Punjab,+915828231130,Ahmedabad,doctorgokul@sabharwal.biz,Payment Pending,2023-11-03
Swaminathan and Sons,8832,Juice Concentrates (like orange or cranberry),P014,3,353.95,"H.No. 89, Butala Nagar, Yamunanagar 123039",Assam,8648741031,Danapur,mishtitiwari@yahoo.com,Payment Pending,2021-12-11
Swaminathan and Sons,1081,Ice Cream,P002,301,74.89,"H.No. 60, Srinivas Road, Jamalpur 734129",Rajasthan,0721177763,Jabalpur,tara31@yahoo.com,Payment Paid,2021-10-29
Swaminathan and Sons,7992,"Frozen Berries (e.g., strawberries, blueberries)",P015,16,202.91,"797, Sagar Marg, Satna-711470",Karnataka,0343970179,Chapra,bravel@hotmail.com,Payment Paid,2021-04-11
"Tella, Andra and Grover",5254,Whipping Cream,P016,105,235.82,"H.No. 802, Vasa Chowk, Pondicherry-054356",Rajasthan,06444345764,Karnal,bijusuresh@gmail.com,Payment Pending,2023-05-10
Ratta-Buch,6351,"Pulp (e.g., mango, guava, or tomato pulp)",P003,488,178.74,"493, Borah Zila, Ramgarh-402961",Tripura,1514369231,Kolkata,jaggiindrajit@yahoo.com,Payment Pending,2020-01-17
Chana-Sankar,7238,Chicken Nuggets,P010,222,56.28,"21/53, Buch Zila, Tenali-036139",Karnataka,+915422840205,Naihati,ryanbhat@ramesh.com,Payment Pending,2023-12-22
Chana-Sankar,6473,Pickles,P018,355,96.97,"H.No. 90, Gulati Marg, Amritsar-541282",Punjab,+910283750806,Kanpur,tarinibakshi@deo.org,Payment Pending,2020-06-21
"Grover, Sidhu and Varma",1455,Frozen Mixed Vegetables,P009,60,299.4,"20/27, Taneja Road, Kurnool-630909",Mizoram,03829785366,Dhanbad,kanavwable@tailor-chand.org,Payment Pending,2023-09-18
Chana-Sankar,7355,Milk or Milk Powder,P013,454,141.87,"21, Bains, Durgapur-843067",Meghalaya,05337333201,Vadodara,chanavidur@sabharwal-tella.org,Payment Pending,2022-09-04
