Supplier Name,Supplier ID,Product,Product ID,Product Quantity,Price per Product,Address,State,Phone Number,City,Email,Payment Status,Date
Patel Enterprises,SUP6340,Roater/Multure-7ft,RTR0002,99,2688.06,"75, Industrial Area",Kerala,6041714010,Kochi,patelenterprises@example.com,Payment Paid,2022-08-21
Khan Distributors,SUP5936,Sowing Machine 3F,SWM0003,68,2210.4,"35, Market Street",Tamil Nadu,8860989616,Chennai,khandistributors@example.com,Payment Pending,2020-07-17
Khan Distributors,SUP5247,Milling Machine-40HP,MLL0002,97,3307.77,"38, Main Road",Tamil Nadu,6876090576,Coimbatore,khandistributors@example.com,Payment Pending,2020-10-29
Khan Distributors,SUP9001,Milk Extractor 180LPM,ME0001,53,2260.82,"93, Industrial Area",Maharashtra,9097123441,Nagpur,khandistributors@example.com,Payment Pending,2020-02-04
Reddy Trading Co.,SUP9062,Sowing Machine 2F,SWM0002,15,3089.03,"42, Main Road",Tamil Nadu,9569050788,Madurai,reddytradingco.@example.com,Payment Paid,2020-03-09
Sharma Traders,SUP7279,Plow-60HP,PLW0002,27,4753.82,"87, Main Road",Karnataka,7927614586,Mysore,sharmatraders@example.com,Payment Pending,2020-02-24
Gupta Suppliers,SUP4138,Plow-60HP,PLW0002,86,3999.64,"78, Market Street",West Bengal,6159133823,Howrah,guptasuppliers@example.com,Payment Pending,2022-03-05
Reddy Trading Co.,SUP7952,Sowing Machine 1F,SWM0001,21,1497.86,"29, Main Road",Maharashtra,9890698258,Nagpur,reddytradingco.@example.com,Payment Paid,2023-12-15
Desai Dealers,SUP8766,Milling Machine-40HP,MLL0002,74,606.61,"90, Industrial Area",Kerala,6342682570,Kozhikode,desaidealers@example.com,Payment Pending,2022-09-09
Desai Dealers,SUP8029,Plow-60HP,PLW0002,59,2620.62,"26, Market Street",Gujarat,6705880321,Ahmedabad,desaidealers@example.com,Payment Paid,2022-04-03
